run,trajectory,arm,checkpoint,replicate,u_note,u_obs,passed,total,endpoint,compiled,repairRounds,agentTestsDiscarded,agentNonSourceFiles,calls,denied,tokens,secs,usd
1046914843,mcp-b40-l2000-r1,mcp,5,61,0.5333,,4,6,4,1,1,0,0,38,3,11633,297,0.2492
1046914845,mcp-b40-l2000-r1,mcp,5,62,0.5333,,4,6,4,1,3,0,0,31,2,8402,83,0.2182
1046914847,mcp-b40-l2000-r1,mcp,10,61,0.7333,,4,6,4,1,1,0,0,34,2,9585,166,0.2600
1046914849,mcp-b40-l2000-r1,mcp,10,62,0.7333,,4,6,4,1,1,0,0,33,2,8437,107,0.2062
1046914851,mcp-b40-l2000-r1,mcp,20,61,0.7333,,4,6,4,1,3,0,0,31,1,10972,140,0.1991
1046914853,mcp-b40-l2000-r1,mcp,20,62,0.7333,,4,6,4,1,0,0,0,34,1,9762,188,0.2155
1046914855,mcp-b40-l2000-r2,mcp,5,61,0.5333,,4,6,4,1,0,0,0,38,5,13340,144,0.2817
1046914857,mcp-b40-l2000-r2,mcp,5,62,0.5333,,4,6,4,1,3,0,0,31,2,7473,71,0.1885
1046914859,mcp-b40-l2000-r2,mcp,10,61,0.7333,,4,6,4,1,0,0,0,31,1,7819,204,0.2004
1046914861,mcp-b40-l2000-r2,mcp,10,62,0.7333,,4,6,4,1,0,0,0,35,2,9285,217,0.2104
1046914863,mcp-b40-l2000-r2,mcp,20,61,0.7333,,4,6,4,1,1,0,0,31,1,7779,103,0.1828
1046914865,mcp-b40-l2000-r2,mcp,20,62,0.7333,,4,6,4,1,1,0,0,38,4,14297,158,0.2583
1046914867,mcp-b40-l2000-r3,mcp,5,61,0.6667,,4,6,4,1,1,0,0,32,1,9415,84,0.1977
1046914869,mcp-b40-l2000-r3,mcp,5,62,0.6667,,5,6,5,1,1,0,0,37,4,11218,137,0.2413
1046914871,mcp-b40-l2000-r3,mcp,10,61,0.8,,4,6,4,1,0,0,0,36,2,13885,179,0.2874
1046914873,mcp-b40-l2000-r3,mcp,10,62,0.8,,4,6,4,1,2,0,0,33,3,8102,105,0.1928
1046929375,mcp-b40-l2000-r3,mcp,20,61,0.8667,,4,6,4,1,1,0,0,34,3,9722,130,0.2360
1046929377,mcp-b40-l2000-r3,mcp,20,62,0.8667,,4,6,4,1,1,0,0,35,2,9627,134,0.2582
1046929379,none-b40-l2000-r1,none,5,61,,,2,6,2,1,1,0,16,56,6,32532,289,0.5531
1046929381,none-b40-l2000-r1,none,5,62,,,4,6,4,1,2,0,0,32,2,8142,77,0.2138
1046929383,none-b40-l2000-r1,none,10,61,0.4667,,,6,0,0,3,0,0,38,4,10144,123,0.2563
1046929385,none-b40-l2000-r1,none,10,62,0.4667,,,6,0,0,3,0,1,33,3,8492,99,0.2093
1046929387,none-b40-l2000-r1,none,20,61,0.6667,,4,6,4,1,1,0,3,40,4,11986,148,0.2888
1046929389,none-b40-l2000-r1,none,20,62,0.6667,,4,6,4,1,2,0,0,43,2,15310,189,0.3402
1046929391,none-b40-l2000-r2,none,5,61,,,4,6,4,1,1,1,0,35,2,12597,146,0.2636
1046929393,none-b40-l2000-r2,none,5,62,,,4,6,4,1,1,0,0,33,3,9722,131,0.2548
1046929395,none-b40-l2000-r2,none,10,61,,,4,6,4,1,1,1,1,43,4,14252,141,0.3137
1046929397,none-b40-l2000-r2,none,10,62,,,4,6,4,1,1,0,0,36,4,9580,94,0.2188
1046929399,none-b40-l2000-r2,none,20,61,0.5333,,4,6,4,1,2,0,0,37,3,12930,150,0.2813
1046929401,none-b40-l2000-r2,none,20,62,0.5333,,4,6,4,1,1,0,0,30,2,7705,80,0.2135
1046929405,none-b40-l2000-r3,none,5,62,0.2667,,,6,0,0,3,1,1,35,2,11964,107,0.2615
1046929407,none-b40-l2000-r3,none,10,61,0.4,,4,6,4,1,2,0,0,38,6,11381,116,0.2446
1046929409,none-b40-l2000-r3,none,10,62,0.4,,2,6,2,1,3,2,6,56,5,22732,210,0.4310
1046929411,none-b40-l2000-r3,none,20,61,0.6667,,2,6,2,1,1,0,0,37,4,10686,103,0.2896
1046929413,none-b40-l2000-r3,none,20,62,0.6667,,4,6,4,1,2,0,8,46,3,22469,217,0.4236
