build_id,trajectory_id,case_id,arm,checkpoint,actual_calls,complete,cumulative_output_tokens,elapsed_seconds,u_observed,observed_fact_ids,precedent_observed
1038838581,mcp-b40-l2000-r1,acquisition__keycloak__cc-refresh-token,mcp,5,5,true,4196,36,0.3333,C1|E2|F1|G1|I1,false
1038838581,mcp-b40-l2000-r1,acquisition__keycloak__cc-refresh-token,mcp,10,10,true,9322,100,0.6667,A2|C1|C2|D1|D2|E2|F1|F2|G1|I1,false
1038838581,mcp-b40-l2000-r1,acquisition__keycloak__cc-refresh-token,mcp,20,20,true,14764,216,0.8667,A1|A2|B2|C1|C2|D1|D2|E2|F1|F2|G1|H1|I1,true
1038838581,mcp-b40-l2000-r1,acquisition__keycloak__cc-refresh-token,mcp,40,20,false,14764,216,0.8667,A1|A2|B2|C1|C2|D1|D2|E2|F1|F2|G1|H1|I1,true
1038843166,none-b40-l2000-r1,acquisition__keycloak__cc-refresh-token,shell,5,5,true,1570,6,0.2000,E2|G1|I1,false
1038843166,none-b40-l2000-r1,acquisition__keycloak__cc-refresh-token,shell,10,10,true,2599,19,0.3333,D1|E2|F2|G1|I1,false
1038843166,none-b40-l2000-r1,acquisition__keycloak__cc-refresh-token,shell,20,20,true,6533,92,0.8000,A1|A2|C1|C2|D1|D2|E2|F1|F2|G1|H1|I1,true
1038843166,none-b40-l2000-r1,acquisition__keycloak__cc-refresh-token,shell,40,23,false,7898,127,0.8000,A1|A2|C1|C2|D1|D2|E2|F1|F2|G1|H1|I1,true
1038848031,mcp-b40-l2000-r2,acquisition__keycloak__cc-refresh-token,mcp,5,5,true,1624,18,0.6000,C1|C2|D1|D2|E2|F1|F2|G1|I1,false
1038848031,mcp-b40-l2000-r2,acquisition__keycloak__cc-refresh-token,mcp,10,10,true,3218,43,0.7333,A1|A2|C1|C2|D1|D2|E2|F1|F2|G1|I1,true
1038848031,mcp-b40-l2000-r2,acquisition__keycloak__cc-refresh-token,mcp,20,20,true,8103,167,0.8667,A1|A2|B2|C1|C2|D1|D2|E2|F1|F2|G1|H1|I1,true
1038848031,mcp-b40-l2000-r2,acquisition__keycloak__cc-refresh-token,mcp,40,25,false,19109,234,0.8667,A1|A2|B2|C1|C2|D1|D2|E2|F1|F2|G1|H1|I1,true
1038848033,mcp-b40-l2000-r3,acquisition__keycloak__cc-refresh-token,mcp,5,5,true,1876,14,0.3333,E2|F1|F2|G1|I1,false
1038848033,mcp-b40-l2000-r3,acquisition__keycloak__cc-refresh-token,mcp,10,10,true,4062,48,0.6667,A2|C1|C2|D1|D2|E2|F1|F2|G1|I1,false
1038848033,mcp-b40-l2000-r3,acquisition__keycloak__cc-refresh-token,mcp,20,20,true,8026,122,0.8000,A2|B1|B2|C1|C2|D1|D2|E2|F1|F2|G1|I1,false
1038848033,mcp-b40-l2000-r3,acquisition__keycloak__cc-refresh-token,mcp,40,27,false,11034,174,0.8000,A2|B1|B2|C1|C2|D1|D2|E2|F1|F2|G1|I1,false
1038848035,none-b40-l2000-r2,acquisition__keycloak__cc-refresh-token,shell,5,5,true,1796,9,0.2667,E2|F2|G1|I1,false
1038848035,none-b40-l2000-r2,acquisition__keycloak__cc-refresh-token,shell,10,10,true,2970,19,0.2667,E2|F2|G1|I1,false
1038848035,none-b40-l2000-r2,acquisition__keycloak__cc-refresh-token,shell,20,20,true,7127,81,0.8667,A1|A2|B2|C1|C2|D1|D2|E2|F1|F2|G1|H1|I1,true
1038848035,none-b40-l2000-r2,acquisition__keycloak__cc-refresh-token,shell,40,38,false,13140,195,0.8667,A1|A2|B2|C1|C2|D1|D2|E2|F1|F2|G1|H1|I1,true
1038848037,none-b40-l2000-r3,acquisition__keycloak__cc-refresh-token,shell,5,5,true,2018,9,0.2000,E2|G1|I1,false
1038848037,none-b40-l2000-r3,acquisition__keycloak__cc-refresh-token,shell,10,10,true,3371,25,0.6667,A2|C1|C2|D1|D2|E2|F1|F2|G1|I1,false
1038848037,none-b40-l2000-r3,acquisition__keycloak__cc-refresh-token,shell,20,20,true,7175,93,0.8000,A1|A2|C1|C2|D1|D2|E2|F1|F2|G1|H1|I1,true
1038848037,none-b40-l2000-r3,acquisition__keycloak__cc-refresh-token,shell,40,28,false,9882,157,0.9333,A1|A2|B1|B2|C1|C2|D1|D2|E2|F1|F2|G1|H1|I1,true
